1768291267925|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC
1768291267936|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768291267940|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 2     ORDER BY sort_order ASC, created_at DESC
1768291267941|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 3     ORDER BY sort_order ASC, created_at DESC
1768291267942|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 4     ORDER BY sort_order ASC, created_at DESC
1768291267943|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 5     ORDER BY sort_order ASC, created_at DESC
1768291289280|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = ?|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = 1
1768291289281|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768291291289|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = ?|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = 1
1768291291290|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768291322835|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|UPDATE board        SET title = ?           ,writer = ?           ,content = ?     WHERE no = ?|UPDATE board        SET title = 'abc'           ,writer = '작성자1'           ,content = '영어로변경'     WHERE no = 1
